orgid,reviewid,phraseid
454911,13011873,1
14949,1901181,1
425320,6081408,1
1139362,17152636,1
259091,3322001,1
715,16803898,1
596277,12864289,1
19859,7044241,2
321914,6242592,1
41723,25546504,1
2229,6029852,1
21312,8846898,1
686800,17187730,1
957294,524633,1
621252,2034245,1
2642,6127505,1
417,5004814,1
347766,10055139,1
487006,17189353,1
706717,6072350,2
11403,19131915,1
370849,10021476,1
153307,17635832,1
229836,11726824,1
4279,5046875,2
943084,24251474,1
538207,5799377,1
137809,16134308,1
13411,20307330,2
311606,2130843,1
17849,12506348,1
9167,20383561,1
1044252,13682389,1
706591,11541807,1
9005,7070729,1
2890,11645252,1
571920,4958012,2
1884172,23376752,2
19734,14525560,1
469801,2584355,1
340211,22363277,1
345283,11162240,1
836975,15311442,1
355785,6761589,1
346477,11715242,1
744755,24877703,1
611,14505841,3
618,16814794,1
551207,14851813,1
7534,9788124,1
375140,16560183,1
4015,15553741,1
194,25181938,1
221618,10220334,1
328664,11115312,1
5500,2863100,1
249647,16199464,1
440,24653812,1
43314,13550684,1
1387,8617654,1
722501,10570242,2
8874,20288425,1
888539,5173114,1
3053,4877942,1
759110,5481028,1
579327,15735715,1
6633,9167437,1
338688,8808146,1
3032,18726819,1
35238,7157690,1
330,19859418,1
3035,22889288,1
227756,1445836,1
757867,18059259,1
3759,10671907,1
1890722,22408001,2
240344,23817190,1
1296,4458953,1
1107346,13776766,1
1093161,23199880,2
108508,16081,1
13785,8156910,1
416856,1063413,1
2169,13289007,1
825775,18999197,1
1585579,21415929,1
669745,13146661,1
1584083,24666036,1
3020,17297289,1
692496,8071607,1
989868,16823499,1
732092,22309458,1
7617,5210113,1
138550,4707213,1
928038,19684692,1
1345611,16605383,1
400095,4665880,1
2465,21503012,1
145,14116195,1
4071,153944,1
